******* PilotHeader Loading ******
Generation date: 11 - 11 - 2025
Airport file size: 4020
Navaid file size: 4020
Waypoint file size: 2820
Route file size: 50020
Carac file size: 116
Pilot Database name: DTD11112025 
******* PilotWaypoint Loading ******
Allocated elements: 100
Waypoint 1 Name WPT00           ID WPT00 Latitude 55 Longitude 15 Used in Route 0
Waypoint 2 Name WPT01           ID WPT01 Latitude 55,08333 Longitude 15 Used in Route 0
Waypoint 3 Name WPT02           ID WPT02 Latitude 55,16667 Longitude 15 Used in Route 0
Waypoint 4 Name WPT03           ID WPT03 Latitude 55,25 Longitude 15 Used in Route 0
Waypoint 5 Name WPT04           ID WPT04 Latitude 55,33333 Longitude 15 Used in Route 0
Waypoint 6 Name WPT05           ID WPT05 Latitude 55,41667 Longitude 15 Used in Route 0
Waypoint 7 Name WPT06           ID WPT06 Latitude 55,5 Longitude 15 Used in Route 0
Waypoint 8 Name WPT07           ID WPT07 Latitude 55,58333 Longitude 15 Used in Route 0
Waypoint 9 Name WPT08           ID WPT08 Latitude 55,66667 Longitude 15 Used in Route 0
Waypoint 10 Name WPT09           ID WPT09 Latitude 55,75 Longitude 15 Used in Route 0
Waypoint 11 Name WPT10           ID WPT10 Latitude 55,83333 Longitude 15 Used in Route 0
Waypoint 12 Name WPT11           ID WPT11 Latitude 55,91667 Longitude 15 Used in Route 0
Waypoint 13 Name WPT12           ID WPT12 Latitude 56 Longitude 15 Used in Route 0
Waypoint 14 Name WPT13           ID WPT13 Latitude 56,08333 Longitude 15 Used in Route 0
Waypoint 15 Name WPT14           ID WPT14 Latitude 56,16667 Longitude 15 Used in Route 0
Waypoint 16 Name WPT15           ID WPT15 Latitude 56,25 Longitude 15 Used in Route 0
Waypoint 17 Name WPT16           ID WPT16 Latitude 56,33333 Longitude 15 Used in Route 0
Waypoint 18 Name WPT17           ID WPT17 Latitude 56,41667 Longitude 15 Used in Route 0
Waypoint 19 Name WPT18           ID WPT18 Latitude 56,5 Longitude 15 Used in Route 0
Waypoint 20 Name WPT19           ID WPT19 Latitude 56,58333 Longitude 15 Used in Route 0
Waypoint 21 Name WPT20           ID WPT20 Latitude 56,66667 Longitude 15 Used in Route 0
Waypoint 22 Name WPT21           ID WPT21 Latitude 56,75 Longitude 15 Used in Route 0
