******* PilotHeader Loading ******
Generation date: 11 - 11 - 2025
Airport file size: 4020
Navaid file size: 4020
Waypoint file size: 2820
Route file size: 50020
Carac file size: 116
Pilot Database name: DTD11112025 
******* PilotWaypoint Loading ******
Allocated elements: 99
Waypoint 1 Name WPT00           ID WPT00 Latitude 55 Longitude 15 Used in Route 2
Waypoint 2 Name WPT01           ID WPT01 Latitude 55,08333 Longitude 15 Used in Route 2
Waypoint 3 Name WPT02           ID WPT02 Latitude 55,16667 Longitude 15 Used in Route 2
Waypoint 4 Name WPT03           ID WPT03 Latitude 55,25 Longitude 15 Used in Route 1
Waypoint 5 Name WPT04           ID WPT04 Latitude 55,33333 Longitude 15 Used in Route 1
Waypoint 6 Name WPT05           ID WPT05 Latitude 55,41667 Longitude 15 Used in Route 1
Waypoint 7 Name WPT06           ID WPT06 Latitude 55,5 Longitude 15 Used in Route 1
Waypoint 8 Name WPT07           ID WPT07 Latitude 55,58333 Longitude 15 Used in Route 1
Waypoint 9 Name WPT08           ID WPT08 Latitude 55,66667 Longitude 15 Used in Route 1
Waypoint 10 Name WPT09           ID WPT09 Latitude 55,75 Longitude 15 Used in Route 1
Waypoint 11 Name WPT10           ID WPT10 Latitude 55,83333 Longitude 15 Used in Route 1
Waypoint 12 Name WPT11           ID WPT11 Latitude 55,91667 Longitude 15 Used in Route 1
Waypoint 13 Name WPT12           ID WPT12 Latitude 56 Longitude 15 Used in Route 1
Waypoint 14 Name WPT13           ID WPT13 Latitude 56,08333 Longitude 15 Used in Route 1
Waypoint 15 Name WPT14           ID WPT14 Latitude 56,16667 Longitude 15 Used in Route 1
Waypoint 16 Name WPT15           ID WPT15 Latitude 56,25 Longitude 15 Used in Route 1
Waypoint 17 Name WPT16           ID WPT16 Latitude 56,33333 Longitude 15 Used in Route 1
Waypoint 18 Name WPT17           ID WPT17 Latitude 56,41667 Longitude 15 Used in Route 1
Waypoint 19 Name WPT18           ID WPT18 Latitude 56,5 Longitude 15 Used in Route 1
Waypoint 20 Name WPT19           ID WPT19 Latitude 56,58333 Longitude 15 Used in Route 1
Waypoint 21 Name WPT20           ID WPT20 Latitude 56,66667 Longitude 15 Used in Route 1
Waypoint 22 Name WPT21           ID WPT21 Latitude 56,75 Longitude 15 Used in Route 0
Waypoint 23 Name WPT22           ID WPT22 Latitude 56,83333 Longitude 15 Used in Route 0
Waypoint 24 Name WPT23           ID WPT23 Latitude 56,91667 Longitude 15 Used in Route 0
Waypoint 25 Name WPT24           ID WPT24 Latitude 57 Longitude 15 Used in Route 0
Waypoint 26 Name WPT25           ID WPT25 Latitude 57,08333 Longitude 15 Used in Route 0
Waypoint 27 Name WPT26           ID WPT26 Latitude 57,16667 Longitude 15 Used in Route 0
Waypoint 28 Name WPT27           ID WPT27 Latitude 57,25 Longitude 15 Used in Route 0
Waypoint 29 Name WPT28           ID WPT28 Latitude 57,33333 Longitude 15 Used in Route 0
Waypoint 30 Name WPT29           ID WPT29 Latitude 57,41667 Longitude 15 Used in Route 0
Waypoint 31 Name WPT30           ID WPT30 Latitude 57,5 Longitude 15 Used in Route 0
Waypoint 32 Name WPT31           ID WPT31 Latitude 57,58333 Longitude 15 Used in Route 0
Waypoint 33 Name WPT32           ID WPT32 Latitude 57,66667 Longitude 15 Used in Route 0
Waypoint 34 Name WPT33           ID WPT33 Latitude 57,75 Longitude 15 Used in Route 0
Waypoint 35 Name WPT34           ID WPT34 Latitude 57,83333 Longitude 15 Used in Route 0
Waypoint 36 Name WPT35           ID WPT35 Latitude 57,91667 Longitude 15 Used in Route 0
Waypoint 37 Name WPT36           ID WPT36 Latitude 58 Longitude 15 Used in Route 0
Waypoint 38 Name WPT37           ID WPT37 Latitude 58,08333 Longitude 15 Used in Route 0
Waypoint 39 Name WPT38           ID WPT38 Latitude 58,16667 Longitude 15 Used in Route 0
Waypoint 40 Name WPT39           ID WPT39 Latitude 58,25 Longitude 15 Used in Route 0
Waypoint 41 Name WPT40           ID WPT40 Latitude 58,33333 Longitude 15 Used in Route 0
Waypoint 42 Name WPT41           ID WPT41 Latitude 58,41667 Longitude 15 Used in Route 0
Waypoint 43 Name WPT42           ID WPT42 Latitude 58,5 Longitude 15 Used in Route 0
Waypoint 44 Name WPT43           ID WPT43 Latitude 58,58333 Longitude 15 Used in Route 0
Waypoint 45 Name WPT44           ID WPT44 Latitude 58,66667 Longitude 15 Used in Route 0
Waypoint 46 Name WPT45           ID WPT45 Latitude 58,75 Longitude 15 Used in Route 0
Waypoint 47 Name WPT46           ID WPT46 Latitude 58,83333 Longitude 15 Used in Route 0
Waypoint 48 Name WPT47           ID WPT47 Latitude 58,91667 Longitude 15 Used in Route 0
Waypoint 49 Name WPT48           ID WPT48 Latitude 59 Longitude 15 Used in Route 0
Waypoint 50 Name WPT49           ID WPT49 Latitude 59,08333 Longitude 15 Used in Route 4
Waypoint 51 Name WPT50           ID WPT50 Latitude 59,16667 Longitude 15 Used in Route 8
Waypoint 52 Name WPT51           ID WPT51 Latitude 59,25 Longitude 15 Used in Route 2
